Hand motion injury,Leg motion injury
ok,ok
răng lạnh,răng lạnh
lạnh,lạnh
gãi lật ,gãi lật 
duỗi bàn chân phải,duỗi bàn chân phải
hai tay cầm hai tay,hai tay cầm hai tay
nhấc hạ,nhấc hạ
gãi má phải ,gãi má phải 
gãi đầu gối trái,gãi đầu gối trái
gãi má trái,gãi má trái
vuốt ngón,vuốt ngón
xoa lưng,xoa lưng
nghiêng sang trái,nghiêng sang trái
nghiêng sang phải,nghiêng sang phải
đi tiểu,đi tiểu
kéo kê ra trước,kéo kê ra trước
nóng quá,nóng quá
duỗi tay chân,duỗi tay chân
nâng chân lên,nâng chân lên
Nâng tay lên,Nâng tay lên
bỏ kê phía sau đầu,bỏ kê phía sau đầu
bỏ ra,bỏ ra
bỏ xuống,bỏ xuống
đi tiểu  ,đi tiểu  
bỏ kê,bỏ kê
gãi vai ,gãi vai 
Không tưởng tượng nổi,Không tưởng tượng nổi
sao mà ác thế,sao mà ác thế
gãi lật,gãi lật
uống nước,uống nước
gãi vai phải nhẹ thôi,gãi vai phải nhẹ thôi
ra đằng sau,ra đằng sau
gãi nhẹ trán phải ,gãi nhẹ trán phải 
bôi cồn và thuốc,bôi cồn và thuốc
uống sữa,uống sữa
uống sữa bằng ống hút,uống sữa bằng ống hút
ngồi dậy,ngồi dậy
gãi mông trái chỗ giáp đít ,gãi mông trái chỗ giáp đít 
nâng mông lên ,nâng mông lên 
đặt mông xuống,đặt mông xuống
bôi thuốc xương cụt và xương sống hai chỗ ,bôi thuốc xương cụt và xương sống hai chỗ 
chỗ loét phía dưới,chỗ loét phía dưới
hôm nay thứ  mấy,hôm nay thứ  mấy
hôm nay  mát hơn à   ,hôm nay  mát hơn à   
dễ thở hơn hẳn,dễ thở hơn hẳn
tí chọn kênh nào có tiếng việt nghe nó xầm xì cho vui,tí chọn kênh nào có tiếng việt nghe nó xầm xì cho vui
đắp ít chăn,đắp ít chăn
bỏ chăn ra,bỏ chăn ra
lưng đè ống xông        ,lưng đè ống xông        
tay sang trái,tay sang trái
uống nước cam,uống nước cam
lót mông,lót mông
trước khi về anh đỡ tôi ngồi dậy năm phút,trước khi về anh đỡ tôi ngồi dậy năm phút
khi ngồi anh nâng đầu đứng thẳng trên cổ hơi ngửa ra sau một tí cũng được,khi ngồi anh nâng đầu đứng thẳng trên cổ hơi ngửa ra sau một tí cũng được
lúc đặt máy xuống anh cứ kéo ra càng nhiều càng tốt,lúc đặt máy xuống anh cứ kéo ra càng nhiều càng tốt
bật bật mạnh tí,bật bật mạnh tí
duỗi rồi xoa một tí rồi co là xong,duỗi rồi xoa một tí rồi co là xong
đặt lại bàn tay,đặt lại bàn tay
kê miệng kê vào cho đầu đừng đè vào,kê miệng kê vào cho đầu đừng đè vào
làm đi,làm đi
ống thở chặt quá,ống thở chặt quá
duỗi ấn một tí rồi co,duỗi ấn một tí rồi co
cho quạt vào đây một tí cũng được  ,cho quạt vào đây một tí cũng được  
nhiều quá,nhiều quá
tắt ba mở một,tắt ba mở một
ngồi dậy     ,ngồi dậy     
bóp tay chân,bóp tay chân
ăn sau,ăn sau
chị ba là con ai,chị ba là con ai
gãi vai nhè nhẹ,gãi vai nhè nhẹ
vai trái,vai trái
lên cầu vai,lên cầu vai
gãi lật từ gáy lên đỉnh,gãi lật từ gáy lên đỉnh
lệch phải một tí,lệch phải một tí
làm lại nhé,làm lại nhé
luôn luôn lót giấy dưới mép phải vì nước dãi chảy liên tục,luôn luôn lót giấy dưới mép phải vì nước dãi chảy liên tục
vai sang trái,vai sang trái
bàn tay,bàn tay
bông tai   ,bông tai   
thở bình,thở bình
gãi nhẹ đùi phải một tí,gãi nhẹ đùi phải một tí
qua phải,qua phải
co chân phải,co chân phải
xoa tí nữa,xoa tí nữa
tối nay nếu chân tôi duỗi trúng người anh thì anh dậy sửa giúp cái máy nhé,tối nay nếu chân tôi duỗi trúng người anh thì anh dậy sửa giúp cái máy nhé
chăn xuống,chăn xuống
bơm sữa,bơm sữa
gì cũng được,gì cũng được
hộp lắc cho mau nguội,hộp lắc cho mau nguội
duỗi ống,duỗi ống
thôi,thôi
tắt,tắt
thông cảm,thông cảm
cổ chân,cổ chân
quạt nhỏ,quạt nhỏ
tắt quạt,tắt quạt
đầu lên,đầu lên
xoay đầu sang trái một tí,xoay đầu sang trái một tí
xoay ngửa ra ,xoay ngửa ra 
xoay ngửa ra nhìn lên trần,xoay ngửa ra nhìn lên trần
xem lại tai giúp chú,xem lại tai giúp chú
cháu lấy máu êm lắm,cháu lấy máu êm lắm
lật người cho cháu bôi giúp 2 vt giữa sống lưng và gần xương cụt,lật người cho cháu bôi giúp 2 vt giữa sống lưng và gần xương cụt
thở bình mức ba,thở bình mức ba
ngồi dậy    ,ngồi dậy    
ngủ dậy rồi ăn ,ngủ dậy rồi ăn 
gãi lật đầu,gãi lật đầu
tay trái,tay trái
chuyển kê lưng xuống mông,chuyển kê lưng xuống mông
nghiêng  tay,nghiêng  tay
bỏ  bớt chăn ra,bỏ  bớt chăn ra
tay phải co lên một tí ,tay phải co lên một tí 
tay phải nâng lâu một tí ,tay phải nâng lâu một tí 
mỏi quá,mỏi quá
gãi cẳng tay phải,gãi cẳng tay phải
tay phải dịch ra ngoài ,tay phải dịch ra ngoài 
bật quạt lên,bật quạt lên
bóp bàn tay phải. ,bóp bàn tay phải. 
ấn xuống ,ấn xuống 
nghiêng  mạnh tay một chút,nghiêng  mạnh tay một chút
bóp 2 tay,bóp 2 tay
xoa chân,xoa chân
thở bình mức 3 ,thở bình mức 3 
đừng để tay lên bụng,đừng để tay lên bụng
khó thở,khó thở
tư thế nằm vẹo nhiều quá khớ thở,tư thế nằm vẹo nhiều quá khớ thở
