Ve Sinh,Cham Soc,Y Te,Hoi Han,Bieu Dat,Khac
đi tiểu,gãi lật ,bôi cồn và thuốc,hôm nay thứ mấy,răng lạnh,ok
đi tè,duỗi bàn chân phải,bôi thuốc xương cụt và xương sống hai chỗ ,hôm nay  mát hơn à   ,lạnh,hai tay cầm hai tay
đi tiểu ,nhấc hạ,lật người cho cháu bôi giúp 2 vt giữa sống lưng và gần xương cụt,dễ thở hơn hẳn,nóng quá,kéo kê ra trước
tè túi nylon,gãi má phải ,tối uống thuốc xổ,chị ba là con ai,Không tưởng tượng nổi,bỏ ra
,gãi đầu gối trái,ngồi dậy uống thuốc,hôm nay ăn gì,sao mà ác thế,bỏ xuống
,gãi má trái,bôi cồn ,bình còn không,ống thở chặt quá,bỏ kê
,vuốt ngón,bôi thuốc ở mông và lưng,mức mấy,nhiều quá,ra đằng sau
,xoa lưng,,đi đâu ,thông cảm,ngồi dậy
,nghiêng sang trái,,mấy giờ rồi,cháu lấy máu êm lắm,nâng mông lên 
,nghiêng sang phải,,,mỏi quá,đặt mông xuống
,duỗi tay chân,,,khó thở,chỗ loét phía dưới
,nâng chân lên,,,tư thế nằm vẹo nhiều quá khớ thở,tí chọn kênh nào có tiếng việt nghe nó xầm xì cho vui
,Nâng tay lên,,,gần sáng tôi thấy anh trở mình ,lưng đè ống xông        
,bỏ kê phía sau đầu,,,nếu thấy một chân tôi duỗi thẳng ra thì nghĩa máy đang hỏng ,trước khi về anh đỡ tôi ngồi dậy năm phút
,gãi vai ,,,yếu quá,khi ngồi anh nâng đầu đứng thẳng trên cổ hơi ngửa ra sau một tí cũng được
,gãi lật,,,thở máy mà còn không được nữa thì thôi,lúc đặt máy xuống anh cứ kéo ra càng nhiều càng tốt
,uống nước,,,lần này là do cơ quá yếu,bật bật mạnh tí
,gãi vai phải nhẹ thôi,,,lần này là do cơ quá yếu không hít thở được ,làm đi
,gãi nhẹ trán phải ,,,hoặc là có lúc nó không tạo được ô xi,cho quạt vào đây một tí cũng được  
,uống sữa,,,vẫn tức ngực lắm ,tắt ba mở một
,uống sữa bằng ống hút,,,xem lại đi cho chính xác,lệch phải một tí
,gãi mông trái chỗ giáp đít ,,,khó thở lắm rồi  ,làm lại nhé
,đắp ít chăn,,,cho nước cam vào tủ lạnh cho mát,qua phải
,bỏ chăn ra,,,cả nước sôi nữa,tối nay nếu chân tôi duỗi trúng người anh thì anh dậy sửa giúp cái máy nhé
,tay sang trái,,,dạo này ăn uống kém chả thấy ngon dở gì nữa cả,gì cũng được
,uống nước cam,,,lót mông như thế này là vừa phải    ,hộp lắc cho mau nguội
,lót mông,,,cẩn thận đầy người,thôi
,duỗi rồi xoa một tí rồi co là xong,,,không có hơi ra trong ống,tắt
,đặt lại bàn tay,,,tai đau,quạt nhỏ
,kê miệng kê vào cho đầu đừng đè vào,,,nhưng mà chỉ còn bốn mức,tắt quạt
,duỗi ấn một tí rồi co,,,chắc chắn nguội rồi mới cho ăn ,thở bình mức ba
,ngồi dậy     ,,,đừng lót lưng ,ngồi dậy    
,bóp tay chân,,,chỉ lót  mông thôi,bật quạt lên
,ăn sau,,,đái rồi,thở bình mức ba
,gãi vai nhè nhẹ,,,chưa cần đang đi mà,đừng để tay lên bụng
,vai trái,,,,lúc vai xong anh cứ để đầu yên như vậy
,lên cầu vai,,,,đừng kéo nó ra ngoài
,gãi lật từ gáy lên đỉnh,,,,một chỗ đó thôi
,luôn luôn lót giấy dưới mép phải vì nước dãi chảy liên tục,,,,mạnh lên       
,vai sang trái,,,,lúc nào trở mình anh nhìn qua tôi một tí 
,bàn tay,,,,anh dậy bấm giúp
,bông tai   ,,,,kê vào
,thở bình,,,,kê ra
,gãi nhẹ đùi phải một tí,,,,thấp thôi
,co chân phải,,,,thở lên mức bốn
,xoa tí nữa,,,,bật đèn 
,chăn xuống,,,,đổi bình thở
,bơm sữa,,,,mức bốn
,duỗi ống,,,,mức năm
,cổ chân,,,,đổi bình
,đầu lên,,,,bật quạt số nhỏ
,xoay đầu sang trái một tí,,,,ít chăn thôi
,xoay ngửa ra ,,,,máy  mức năm
,xoay ngửa ra nhìn lên trần,,,,đổi bình  mức ba
,xem lại tai giúp chú,,,,to tí nữa
,ngủ dậy rồi ăn ,,,,Không cần hút đờm dãi đâu vì không có
,gãi lật đầu,,,,gọi đổi
,tay trái,,,,loa mất điện
,chuyển kê lưng xuống mông,,,,cắm loa thật chặt vào
,nghiêng  tay,,,,mỗi làn đổi ga là phải chú ý điện của loa
,bỏ  bớt chăn ra,,,,bình trước
,tay phải co lên một tí ,,,,bình hay máy tăng hay giảm là theo bài  
,tay phải nâng lâu một tí ,,,,tăng thở   
,gãi cẳng tay phải,,,,nghiêng bình
,tay phải dịch ra ngoài ,,,,gọi để đổi bình mới
,bóp bàn tay phải. ,,,,thay máy
,ấn xuống ,,,,mở hé cửa
,nghiêng  mạnh tay một chút,,,,ống hút nước 
,bóp hai tay,,,,mức to nhất
,xoa chân,,,,nâng hạ
,gãi mặt dưới mông trái giáp đùi,,,,nâng hạ vài lần
,bỏ kê đầu,,,,bật ti vi
,gãi lật phía trên lệch phải một tí,,,,qua giữa
,đắp tí chăn,,,,mở điều hòa
,thở bình ,,,,mở điều hòa thêm quạt
,xoay ra ngoài,,,,qua trái
,bớt chăn ra,,,,tắt máy
,bóp  một tí,,,,mở loa to
,nghiêng ba trăm sáu mươi độ nghiêng,,,,quạt phe phẩy  
,thở bình mau lên,,,,vuốt ra
,phủi má mũi,,,,vỗ vỗ đập đập
,thở bình không bỉm,,,,tắt máy 
,duỗi xoa,,,,mở lại
,xoa cổ chân,,,,thấp xuống
,kéo nệm ở lưng xuống mông,,,,móc ra
,gãi má trái ,,,,bỏ thấp xuống
,gãi gối phải,,,,máy mở cửa ra
,đánh răng,,,,mức cao nhất
,bóp hai bàn chân,,,,
,kê đầu lên một tí,,,,
